Estado,Total_Aprobado,Total_Pagado,Diferencia_Pesos
Ciudad de México,4896921295112.0,1209766777783.1,-3687154517328.9
No Distribuible Geográficamente,1739164488238.0,347220483654.0,-1391944004584.0
Estado de México,526409578813.0,140638014560.5,-385771564252.5
Veracruz,407053488399.0,101830591099.3,-305222897299.7
Jalisco,328171719534.0,81553959243.5,-246617760290.5
Nuevo León,315980228594.0,77984707371.5,-237995521222.5
Tabasco,246499144494.0,52890762907.5,-193608381586.5
Guanajuato,219773827811.0,57277640967.6,-162496186843.4
Tamaulipas,205021792432.0,50723747570.0,-154298044862.0
Puebla,198851716060.0,57319278747.6,-141532437312.4
Baja California,182780695708.0,43098677868.0,-139682017840.0
Chiapas,185893657733.0,56083104503.3,-129810553229.7
Chihuahua,171174703226.0,45788121582.6,-125386581643.4
Oaxaca,175852754940.0,51539198788.0,-124313556152.0
Coahuila,154364834105.0,40021937832.6,-114342896272.4
Sonora,149498867207.0,38181466192.9,-111317401014.1
Michoacán,153753437719.0,43191321638.3,-110562116080.7
Sinaloa,141177097701.0,38075050944.2,-103102046756.8
Guerrero,144774865326.0,41727192181.2,-103047673144.8
Yucatán,137678164250.0,37312504394.3,-100365659855.7
San Luis Potosí,131355787333.0,32398526486.3,-98957260846.7
Hidalgo,127182395943.0,38344930721.5,-88837465221.5
Querétaro,110542548156.0,25014179157.9,-85528368998.1
Campeche,105064098178.0,22668488208.5,-82395609969.5
Durango,91432492975.0,22849764926.6,-68582728048.4
Morelos,85898168319.0,23264637483.1,-62633530835.9
Quintana Roo,69270029538.0,17965397065.7,-51304632472.3
Aguascalientes,68253350170.0,16970076575.0,-51283273595.0
Zacatecas,64733625365.0,18505470278.3,-46228155086.7
Baja California Sur,57559360600.0,13205215864.2,-44354144735.8
Nayarit,53560089737.0,15238391445.2,-38321698291.8
Tlaxcala,48470304440.0,13031113012.1,-35439191427.9
Colima,44535419855.0,14814698461.5,-29720721393.5
En El Extranjero,8142768235.0,6414091684.6,-1728676550.4
