Estado,Sector,Media_Aprobada_Ramo_Estatal,Total_Aprobado_Ramo_Estatal,Pct_Participacion_Aprobado_Local,Media_Pagada_Ramo_Estatal,Total_Pagado_Ramo_Estatal,Pct_Participacion_Pagado_Local
Aguascalientes,Instituto Mexicano del Seguro Social,55895130.11,21463729962.0,31.45,12889328.54,4949502158.7,29.17
Aguascalientes,Aportaciones Federales para Entidades Federativas y Municipios,213009305.71,14697642094.0,21.53,63607344.5,4388906770.8,25.86
Aguascalientes,Participaciones a Entidades Federativas y Municipios,3175706380.8,15878531904.0,23.26,800749691.6,4003748458.0,23.59
Aguascalientes,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,25078359.58,9003131088.0,13.19,5221671.77,1874580164.0,11.05
Aguascalientes,Información Nacional Estadística y Geográfica,11987831.68,4243692413.0,6.22,1914029.43,677566418.8,3.99
Aguascalientes,Educación Pública,32252688.79,1515876373.0,2.22,14319949.87,673037643.9,3.97
Aguascalientes,Comisión Federal de Electricidad,2538953.97,370687280.0,0.54,1216154.08,177558496.0,1.05
Aguascalientes,"Ciencia, Humanidades, Tecnología e Innovación",3329552.22,296330148.0,0.43,651395.47,57974196.5,0.34
Aguascalientes,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,2358672.38,91988223.0,0.13,885589.9,34538006.0,0.2
Aguascalientes,Petróleos Mexicanos,1968556.28,104333483.0,0.15,522360.87,27685126.0,0.16
Aguascalientes,Agricultura y Desarrollo Rural,1777482.1,108426408.0,0.16,443457.43,27050903.4,0.16
Aguascalientes,Instituto Nacional Electoral,247593.22,108941016.0,0.16,47466.08,20885074.8,0.12
Aguascalientes,Medio Ambiente y Recursos Naturales,421414.06,128531289.0,0.19,60787.21,18540098.4,0.11
Aguascalientes,"Infraestructura, Comunicaciones y Transportes",418472.0,63189272.0,0.09,77498.19,11702226.1,0.07
Aguascalientes,Tribunal Federal de Justicia Administrativa,647926.22,35635942.0,0.05,124210.6,6831583.1,0.04
Aguascalientes,Fiscalía General de la República,578491.94,27767613.0,0.04,96893.61,4650893.4,0.03
Aguascalientes,Economía,210548.76,9685243.0,0.01,81533.15,3750525.1,0.02
Aguascalientes,Bienestar,422780.19,19870669.0,0.03,76003.45,3572162.1,0.02
Aguascalientes,Poder Judicial,466330.48,26114507.0,0.04,53240.04,2981442.5,0.02
Aguascalientes,Trabajo y Previsión Social,144159.85,4901435.0,0.01,52103.56,1771521.1,0.01
Aguascalientes,"Desarrollo Agrario, Territorial y Urbano",45692.03,4112283.0,0.01,17631.9,1586870.7,0.01
Aguascalientes,Gobernación,0.0,0.0,0.0,36632.35,952441.2,0.01
Aguascalientes,Tribunales Agrarios,434560.3,24769937.0,0.04,11497.49,655356.7,0.0
Aguascalientes,Salud,60567.64,1514191.0,0.0,1719.88,42997.0,0.0
Aguascalientes,Comisión Nacional de los Derechos Humanos,0.0,0.0,0.0,5040.7,5040.7,0.0
Aguascalientes,Cultura,794068.5,1588137.0,0.0,0.0,0.0,0.0
Aguascalientes,Mujeres,3726543.33,22359260.0,0.03,0.0,0.0,0.0
Aguascalientes,Seguridad y Protección Ciudadana,0.0,0.0,0.0,0.0,0.0,0.0
Baja California,Instituto Mexicano del Seguro Social,120694973.84,55881772887.0,30.57,29844882.95,13818180804.3,32.06
Baja California,Participaciones a Entidades Federativas y Municipios,9018296547.0,45091482735.0,24.67,2398429589.8,11992147949.0,27.82
Baja California,Aportaciones Federales para Entidades Federativas y Municipios,354443025.59,24456568766.0,13.38,108052456.51,7455619499.1,17.3
Baja California,Comisión Federal de Electricidad,72687235.63,25585906943.0,14.0,8534663.52,3004201560.0,6.97
Baja California,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,27450884.38,11254862594.0,6.16,6514939.39,2671125148.0,6.2
Baja California,Educación Pública,66344687.27,3250889676.0,1.78,31693601.52,1552986474.4,3.6
Baja California,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,19543444.44,1758910000.0,0.96,9624921.73,866242955.6,2.01
Baja California,Defensa Nacional,32776958.82,1835509694.0,1.0,11886869.26,665664678.7,1.54
Baja California,"Ciencia, Humanidades, Tecnología e Innovación",4194814.98,1707289695.0,0.93,1116622.85,454465501.6,1.05
Baja California,Marina,1995294.29,842014189.0,0.46,442761.92,186845528.5,0.43
Baja California,Petróleos Mexicanos,8418202.17,530346737.0,0.29,2003924.51,126247244.0,0.29
Baja California,Instituto Nacional Electoral,501718.28,250357422.0,0.14,97006.36,48406174.1,0.11
Baja California,Gobernación,0.0,0.0,0.0,1139636.61,47864737.8,0.11
Baja California,Medio Ambiente y Recursos Naturales,13241672.61,4568377051.0,2.5,138617.25,47822952.0,0.11
Baja California,Información Nacional Estadística y Geográfica,2313614.75,201284483.0,0.11,382374.48,33266579.4,0.08
Baja California,"Infraestructura, Comunicaciones y Transportes",549730.58,79161204.0,0.04,202417.72,29148151.7,0.07
Baja California,Agricultura y Desarrollo Rural,1825347.06,113171518.0,0.06,328691.1,20378848.1,0.05
Baja California,Cultura,1524228.47,103647536.0,0.06,266647.65,18132040.2,0.04
Baja California,Tribunal Federal de Justicia Administrativa,992154.64,83340990.0,0.05,184099.68,15464373.5,0.04
Baja California,Poder Judicial,1656824.45,99409467.0,0.05,178257.24,10695434.3,0.02
Baja California,Fiscalía General de la República,1717966.53,87616293.0,0.05,187309.95,9552807.3,0.02
Baja California,Tribunales Agrarios,167787.03,18288786.0,0.01,39669.3,4323953.4,0.01
Baja California,Bienestar,346931.37,15958843.0,0.01,88545.34,4073085.6,0.01
Baja California,Economía,265421.25,11678535.0,0.01,88210.12,3881245.3,0.01
Baja California,Trabajo y Previsión Social,205351.88,8214075.0,0.0,72792.66,2911706.4,0.01
Baja California,Entidades no Sectorizadas,54594.1,2620517.0,0.0,52341.83,2512408.0,0.01
Baja California,"Desarrollo Agrario, Territorial y Urbano",35241.84,3136524.0,0.0,26945.36,2398137.3,0.01
Baja California,Hacienda y Crédito Público,0.0,0.0,0.0,2112497.0,2112497.0,0.0
