Sector,Media_Ap_Ramo_Federal,Total_Ap_Federal,Pct_Aprobado,Media_Pa_Ramo_Federal,Total_Pa_Federal,Pct_Pagado
Aportaciones a Seguridad Social,55054239051.57,1541518693444.0,13.12,16259200522.86,455257614640.2,15.74
Participaciones a Entidades Federativas y Municipios,9043763318.51,1456045894280.0,12.4,2297620609.74,369916918167.4,12.79
Instituto Mexicano del Seguro Social,119626049.09,1590308696623.0,13.54,27203538.49,361643840633.3,12.5
Aportaciones Federales para Entidades Federativas y Municipios,470593002.22,1041892906925.0,8.87,131751291.53,291697359447.6,10.08
Deuda Pública,64884053146.15,1297681062923.0,11.05,11713641297.21,234272825944.2,8.1
Bienestar,313579741.75,674510024515.0,5.74,95347127.31,205091670839.8,7.09
Petróleos Mexicanos,170856665.61,708200878943.0,6.03,37849546.74,156886371222.0,5.42
Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,42048581.2,539020762386.0,4.59,11465152.43,146971789020.0,5.08
Comisión Federal de Electricidad,71725687.79,602567503089.0,5.13,14098451.15,118441088152.0,4.09
Educación Pública,85864321.9,523858227933.0,4.46,18351977.37,111965413958.2,3.87
Adeudos de Ejercicios Fiscales Anteriores,35427850000.0,70855700000.0,0.6,32411932072.45,64823864144.9,2.24
Energía,106549448.0,267439114491.0,2.28,23547352.01,59103853534.0,2.04
Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,59955648.45,172492400589.0,1.47,20306211.21,58420969664.7,2.02
Defensa Nacional,73505442.14,170753142093.0,1.45,17476880.7,40598793855.0,1.4
Agricultura y Desarrollo Rural,15191606.14,75836497826.0,0.65,7182876.52,35856919568.8,1.24
Provisiones Salariales y Económicas,4531141218.73,167652225093.0,1.43,950991453.18,35186683767.7,1.22
Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,3555340090.0,35553400900.0,0.3,1777670000.0,17776700000.0,0.61
Marina,6993401.67,65926797533.0,0.56,1281668.59,12082289842.4,0.42
Poder Judicial,26914889.91,70005628646.0,0.6,4628167.7,12037864184.0,0.42
"Infraestructura, Comunicaciones y Transportes",23373308.21,153539261639.0,1.31,1808712.58,11881432944.6,0.41
"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",321443052.99,85182409042.0,0.73,44477542.81,11786548844.4,0.41
"Ciencia, Humanidades, Tecnología e Innovación",8175236.93,37360832784.0,0.32,2068818.7,9454501465.2,0.33
Salud,9368534.53,66825756831.0,0.57,1237913.33,8830035798.6,0.31
Seguridad y Protección Ciudadana,39861328.58,60110883499.0,0.51,5605736.68,8453450915.0,0.29
Trabajo y Previsión Social,12586829.13,28760904563.0,0.24,3697640.46,8449108441.5,0.29
Medio Ambiente y Recursos Naturales,3350053.22,45564073902.0,0.39,549445.13,7473003162.6,0.26
Hacienda y Crédito Público,6560263.31,26792115351.0,0.23,1673228.34,6833464558.6,0.24
Relaciones Exteriores,5542141.14,9294170690.0,0.08,3955306.73,6633049386.0,0.23
Instituto Nacional Electoral,1308323.14,21837221581.0,0.19,281079.66,4691500678.5,0.16
Fiscalía General de la República,5143695.58,20240442089.0,0.17,928640.6,3654200758.8,0.13
Poder Legislativo,49101054.62,17529076499.0,0.15,10035532.8,3582685209.5,0.12
Cultura,5609107.16,15082889146.0,0.13,1018977.57,2740030692.7,0.09
Gobernación,3392268.16,9959699324.0,0.08,828177.18,2431528189.8,0.08
Información Nacional Estadística y Geográfica,3528840.41,11807500000.0,0.1,619978.37,2074447610.1,0.07
Entidades no Sectorizadas,3970353.07,8365533924.0,0.07,746805.76,1573519733.5,0.05
Agencia de Transformación Digital y Telecomunicaciones,7324467.03,3852669660.0,0.03,1654766.34,870407096.3,0.03
Economía,818962.3,3535460234.0,0.03,173528.93,749124391.9,0.03
"Desarrollo Agrario, Territorial y Urbano",9220049.28,36290113966.0,0.31,178634.84,703106749.2,0.02
Tribunal Federal de Justicia Administrativa,1465517.24,3400000000.0,0.03,264568.27,613798377.9,0.02
Anticorrupción y Buen Gobierno,1465981.34,1743051816.0,0.01,372721.96,443166412.8,0.02
Turismo,1010407.44,1793473210.0,0.02,174201.36,309207422.5,0.01
Comisión Nacional de los Derechos Humanos,1648342.31,1819769907.0,0.02,226931.01,250531837.9,0.01
Tribunales Agrarios,249676.29,895339171.0,0.01,57460.38,206052917.7,0.01
Oficina de la Presidencia de la República,2117607.43,800455608.0,0.01,268689.8,101564746.1,0.0
Mujeres,6082352.78,2140988180.0,0.02,138506.32,48754225.1,0.0
Consejería Jurídica del Ejecutivo Federal,627645.07,153145398.0,0.0,157655.93,38468047.5,0.0
