Estado,Media_Ap_Estado,Total_Aprobado_Pesos,Porcentaje_Participacion_Ap,Media_Pa_Estado,Total_Pagado_Pesos,Porcentaje_Participacion_Pa
Ciudad de México,86547097.0,4896921295112.0,41.69,21381148.76,1209766777783.1,41.82
No Distribuible Geográficamente,11220416053.15,1739164488238.0,14.81,2240132152.61,347220483654.0,12.0
Estado de México,116462296.2,526409578813.0,4.48,31114604.99,140638014560.5,4.86
Veracruz,77771014.21,407053488399.0,3.47,19455596.31,101830591099.3,3.52
Jalisco,74703327.92,328171719534.0,2.79,18564525.21,81553959243.5,2.82
Nuevo León,87118894.02,315980228594.0,2.69,21501160.01,77984707371.5,2.7
Puebla,55375025.36,198851716060.0,1.69,15961926.69,57319278747.6,1.98
Guanajuato,61303717.66,219773827811.0,1.87,15977026.77,57277640967.6,1.98
Chiapas,47861394.88,185893657733.0,1.58,14439522.27,56083104503.3,1.94
Tabasco,64326499.09,246499144494.0,2.1,13802391.16,52890762907.5,1.83
Oaxaca,44250819.06,175852754940.0,1.5,12969098.84,51539198788.0,1.78
Tamaulipas,56417664.4,205021792432.0,1.75,13958103.35,50723747570.0,1.75
Chihuahua,50869154.0,171174703226.0,1.46,13607168.38,45788121582.6,1.58
Michoacán,41543755.13,153753437719.0,1.31,11670176.07,43191321638.3,1.49
Baja California,43068024.44,182780695708.0,1.56,10155202.14,43098677868.0,1.49
Guerrero,36988979.39,144774865326.0,1.23,10661009.76,41727192181.2,1.44
Coahuila,42713014.42,154364834105.0,1.31,11074138.86,40021937832.6,1.38
Hidalgo,42309512.96,127182395943.0,1.08,12756131.31,38344930721.5,1.33
Sonora,39560430.59,149498867207.0,1.27,10103589.89,38181466192.9,1.32
Sinaloa,37991683.99,141177097701.0,1.2,10246246.22,38075050944.2,1.32
Yucatán,36164477.08,137678164250.0,1.17,9801025.58,37312504394.3,1.29
San Luis Potosí,40971861.3,131355787333.0,1.12,10105591.54,32398526486.3,1.12
Querétaro,34065500.2,110542548156.0,0.94,7708529.79,25014179157.9,0.86
Morelos,25496636.49,85898168319.0,0.73,6905502.37,23264637483.1,0.8
Durango,31880227.68,91432492975.0,0.78,7967142.58,22849764926.6,0.79
Campeche,30225574.85,105064098178.0,0.89,6521429.29,22668488208.5,0.78
Zacatecas,24372599.91,64733625365.0,0.55,6967421.04,18505470278.3,0.64
Quintana Roo,21235447.44,69270029538.0,0.59,5507479.17,17965397065.7,0.62
Aguascalientes,22781492.05,68253350170.0,0.58,5664244.52,16970076575.0,0.59
Nayarit,17676597.27,53560089737.0,0.46,5029172.09,15238391445.2,0.53
Colima,13783788.26,44535419855.0,0.38,4585174.39,14814698461.5,0.51
Baja California Sur,17295480.95,57559360600.0,0.49,3967913.42,13205215864.2,0.46
Tlaxcala,19719407.83,48470304440.0,0.41,5301510.58,13031113012.1,0.45
En El Extranjero,26098616.14,8142768235.0,0.07,20557986.17,6414091684.6,0.22
