Estado,Tipo_gasto,Media_Aprobado,Total_Aprobado,pct_Ap,Media_Pagado,Total_Pagado,pct_Pa
Aguascalientes,Gasto corriente,10583358.57,27590815798.0,40.42,2768561.97,7217641068.0,42.53
Aguascalientes,Pensiones y jubilaciones,1406884124.47,21103261867.0,30.92,324612404.55,4869186068.0,28.69
Aguascalientes,Participaciones,3175706380.8,15878531904.0,23.26,800749691.6,4003748458.0,23.59
Aguascalientes,Gasto de capital diferente de obra pública,8361147.54,2257509835.0,3.31,1903859.1,514041957.0,3.03
Aguascalientes,Gasto de obra pública,49076922.97,1423230766.0,2.09,12454902.6,361192176.0,2.13
Aguascalientes,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,72319.46,4266848.0,0.03
Aguascalientes,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Baja California,Gasto corriente,20877516.83,76182058919.0,41.68,4585596.66,16732842218.0,38.82
Baja California,Participaciones,9018296547.0,45091482735.0,24.67,2398429589.8,11992147949.0,27.82
Baja California,Pensiones y jubilaciones,3489984664.5,48859785303.0,26.73,842912263.19,11800771685.0,27.38
Baja California,Gasto de capital diferente de obra pública,11791927.92,4480932608.0,2.45,3715799.8,1412003922.0,3.28
Baja California,Gasto de obra pública,64812985.26,8166436143.0,4.47,9153944.71,1153397033.0,2.68
Baja California,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,122148.54,7451061.0,0.02
Baja California,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,7111.11,64000.0,0.0
Baja California Sur,Gasto corriente,10168314.42,29142389126.0,50.63,2088655.07,5986085423.0,45.33
Baja California Sur,Pensiones y jubilaciones,863537372.4,12953060586.0,22.5,219395072.35,3290926085.0,24.92
Baja California Sur,Participaciones,2261487723.4,11307438617.0,19.64,610559318.6,3052796593.0,23.12
Baja California Sur,Gasto de capital diferente de obra pública,4597398.27,1383816878.0,2.4,1515616.57,456200588.0,3.45
Baja California Sur,Gasto de obra pública,39037461.15,2771659742.0,4.82,5841946.27,414778185.0,3.14
Baja California Sur,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,70639.76,4097106.0,0.03
Baja California Sur,Gasto corriente por concepto de recursos otorgados a fideicomisos públicos no considerados entidad paraestatal cuyo propósito financiero se limite a la administración y pago,995651.0,995651.0,0.0,331884.0,331884.0,0.0
Baja California Sur,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Campeche,Gasto corriente,11470840.73,32451008437.0,30.89,2907883.85,8226403401.0,36.29
Campeche,Gasto de obra pública,207926247.59,49278520680.0,46.9,34515187.29,8180099388.0,36.09
Campeche,Pensiones y jubilaciones,826213549.0,10740776137.0,10.22,191493991.27,2489421887.0,10.98
Campeche,Participaciones,2106011456.6,10530057283.0,10.02,470614410.6,2353072053.0,10.38
Campeche,Gasto de capital diferente de obra pública,6593404.6,2063735641.0,1.96,4517097.96,1413851662.0,6.24
Campeche,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,84176.4,5639819.0,0.02
Campeche,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Chiapas,Gasto corriente,20403717.21,67821956015.0,36.48,7404585.98,24612843795.0,43.89
Chiapas,Participaciones,11048614073.0,55243070365.0,29.72,2872736002.0,14363680010.0,25.61
Chiapas,Gasto de obra pública,294078412.63,31760468564.0,17.09,68636700.51,7412763655.0,13.22
Chiapas,Pensiones y jubilaciones,1432883077.07,20060363079.0,10.79,456367829.69,6389149616.0,11.39
Chiapas,Gasto de capital diferente de obra pública,32567454.76,11007799710.0,5.92,9697959.1,3277910176.0,5.84
Chiapas,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,356763.35,26757251.0,0.05
Chiapas,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,Gasto corriente,22373454.79,65129126885.0,38.05,6501987.68,18927286142.0,41.34
Chihuahua,Pensiones y jubilaciones,3177057844.75,50832925516.0,29.7,844458587.3,13511337397.0,29.51
Chihuahua,Participaciones,9047358670.0,45236793350.0,26.43,2258514164.0,11292570820.0,24.66
Chihuahua,Gasto de capital diferente de obra pública,18440772.08,5347823903.0,3.12,4422023.82,1282386909.0,2.8
Chihuahua,Gasto de obra pública,77133892.87,4628033572.0,2.7,12715185.17,762911110.0,1.67
Chihuahua,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,171017.72,11629205.0,0.03
Chihuahua,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Ciudad de México,Gasto corriente,51273707.69,2543637364713.0,51.94,11781914.84,584489013393.0,48.31
Ciudad de México,Pensiones y jubilaciones,53364394766.28,1707660632521.0,34.87,15486707023.3,495574624746.0,40.96
Ciudad de México,Gasto de capital diferente de obra pública,59474029.28,388960151478.0,7.94,11238230.93,73498030262.0,6.08
Ciudad de México,Participaciones,28596223805.0,142981119025.0,2.92,7281887324.6,36409436623.0,3.01
Ciudad de México,Gasto corriente por concepto de recursos otorgados a fideicomisos públicos no considerados entidad paraestatal cuyo propósito financiero se limite a la administración y pago,2864925832.75,11459703331.0,0.23,2995943514.25,11983774057.0,0.99
Ciudad de México,Gasto de obra pública,581787800.81,99485713938.0,2.03,17875232.02,3056664675.0,0.25
Ciudad de México,Gasto de inversión por concepto de recursos otorgados a fideicomisos públicos no considerados entidad paraestatal cuyo propósito financiero se limite a la administración y pago,2536610106.0,2536610106.0,0.05,2536610106.0,2536610106.0,0.21
Ciudad de México,Gasto corriente por concepto de gastos indirectos de programas de subsidios,1058201.06,200000000.0,0.0,11474206.5,2168625028.0,0.18
Ciudad de México,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,1666629.77,49998893.0,0.0
Coahuila,Gasto corriente,19013909.0,59665646452.0,38.65,4935419.26,15487345640.0,38.7
Coahuila,Pensiones y jubilaciones,3485815232.27,52287228484.0,33.87,906881872.41,13603228086.0,33.99
Coahuila,Participaciones,7030320471.8,35151602359.0,22.77,1821401226.2,9107006131.0,22.76
Coahuila,Gasto de capital diferente de obra pública,12751646.88,4373814881.0,2.83,2980888.63,1022444800.0,2.55
Coahuila,Gasto de obra pública,57730838.58,2886541929.0,1.87,15924438.19,796221909.0,1.99
Coahuila,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,107382.37,5691265.0,0.01
Coahuila,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Colima,Gasto corriente,7431443.84,20800611301.0,46.71,3061470.42,8569055693.0,57.84
Colima,Pensiones y jubilaciones,912705625.14,12777878752.0,28.69,218875625.9,3064258763.0,20.68
Colima,Participaciones,1694268084.2,8471340421.0,19.02,471074219.0,2355371095.0,15.9
Colima,Gasto de obra pública,30337720.98,1547223770.0,3.47,8317240.24,424179252.0,2.86
Colima,Gasto de capital diferente de obra pública,3191719.77,938365611.0,2.11,1350415.84,397022257.0,2.68
Colima,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,87480.03,4811402.0,0.03
Colima,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Durango,Gasto corriente,16993094.19,42040915027.0,45.98,4055883.05,10034254668.0,43.91
Durango,Pensiones y jubilaciones,1488001583.2,22320023748.0,24.41,368685157.92,5530277369.0,24.2
Durango,Participaciones,4106828023.2,20534140116.0,22.46,1099095103.4,5495475517.0,24.05
Durango,Gasto de obra pública,64343308.2,3924941800.0,4.29,17356277.01,1058732898.0,4.63
Durango,Gasto de capital diferente de obra pública,11116903.34,2612472284.0,2.86,3082030.46,724277157.0,3.17
Durango,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,102199.31,6642955.0,0.03
Durango,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,8027.92,104363.0,0.0
En El Extranjero,Gasto corriente,26098616.14,8142768235.0,100.0,20557986.17,6414091685.0,100.0
Estado de México,Participaciones,38924642444.4,194623212222.0,36.97,9704944050.8,48524720254.0,34.5
Estado de México,Gasto corriente,38877317.7,150377464856.0,28.57,12129288.13,46916086485.0,33.36
Estado de México,Pensiones y jubilaciones,8587212556.94,137395400911.0,26.1,2190725534.04,35051608545.0,24.92
Estado de México,Gasto de capital diferente de obra pública,60161162.64,26049783424.0,4.95,15647027.64,6775162967.0,4.82
Estado de México,Gasto de obra pública,154859632.76,17963717400.0,3.41,28755956.76,3335690984.0,2.37
Estado de México,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,503555.44,34745326.0,0.02
Estado de México,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Guanajuato,Gasto corriente,25558527.89,79921516702.0,36.37,6373327.42,19929394856.0,34.79
Guanajuato,Participaciones,13187300708.0,65936503540.0,30.0,3446656153.2,17233280766.0,30.09
Guanajuato,Pensiones y jubilaciones,3336964364.87,50054465473.0,22.78,832605573.31,12489083600.0,21.8
Guanajuato,Gasto de obra pública,251544404.62,16350386300.0,7.44,84284771.42,5478510142.0,9.56
Guanajuato,Gasto de capital diferente de obra pública,24707091.43,7510955796.0,3.42,7016342.58,2132968144.0,3.72
Guanajuato,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,244126.44,14403460.0,0.03
Guanajuato,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Guerrero,Gasto corriente,21033000.9,70502619028.0,48.7,6395062.53,21436249614.0,51.37
Guerrero,Participaciones,6714628293.4,33573141467.0,23.19,1733527067.2,8667635336.0,20.77
Guerrero,Pensiones y jubilaciones,1646355206.0,21402617678.0,14.78,484823428.46,6302704570.0,15.1
Guerrero,Gasto de obra pública,149783253.03,13630276026.0,9.41,40192450.99,3657513040.0,8.77
Guerrero,Gasto de capital diferente de obra pública,14867693.43,5664591196.0,3.91,4320782.38,1646218088.0,3.95
Guerrero,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,276806.06,16331558.0,0.04
Guerrero,Gasto corriente por concepto de recursos otorgados a fideicomisos públicos no considerados entidad paraestatal cuyo propósito financiero se limite a la administración y pago,1619931.0,1619931.0,0.0,539976.0,539976.0,0.0
Guerrero,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Hidalgo,Gasto corriente,21695757.27,56148619813.0,44.15,6611813.72,17111373914.0,44.62
Hidalgo,Participaciones,5989997657.0,29949988285.0,23.55,1593902466.6,7969512333.0,20.78
Hidalgo,Pensiones y jubilaciones,1922498433.57,26914978070.0,21.16,506963841.47,7097493781.0,18.51
Hidalgo,Gasto de obra pública,114381967.13,9951231140.0,7.82,55144250.56,4797549799.0,12.51
Hidalgo,Gasto de capital diferente de obra pública,17356290.68,4217578635.0,3.32,5595186.44,1359630306.0,3.55
Hidalgo,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,153616.23,9370590.0,0.02
Hidalgo,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Jalisco,Gasto corriente,27197822.71,102834967658.0,31.34,7417013.49,28043728024.0,34.39
Jalisco,Participaciones,19334433552.4,96672167762.0,29.46,5028833355.2,25144166776.0,30.83
Jalisco,Pensiones y jubilaciones,7171660730.71,100403250230.0,30.59,1762095069.63,24669330975.0,30.25
Jalisco,Gasto de capital diferente de obra pública,27104183.77,11437965551.0,3.49,6662351.21,2811512211.0,3.45
Jalisco,Gasto de obra pública,184872179.48,16823368333.0,5.13,9565943.0,870500813.0,1.07
Jalisco,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,212675.32,14249247.0,0.02
Jalisco,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,36245.98,471198.0,0.0
Michoacán,Gasto corriente,18583924.45,59245551140.0,38.53,5754391.82,18345001127.0,42.47
Michoacán,Participaciones,9370669795.8,46853348979.0,30.47,2451414239.68,12257071198.0,28.38
Michoacán,Pensiones y jubilaciones,2345022176.07,35175332641.0,22.88,608528880.01,9127933200.0,21.13
Michoacán,Gasto de capital diferente de obra pública,19158475.23,6475564627.0,4.21,5849972.29,1977290636.0,4.58
Michoacán,Gasto de obra pública,81130274.76,6003640332.0,3.9,19769742.45,1462960941.0,3.39
Michoacán,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,305283.14,21064537.0,0.05
Michoacán,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Morelos,Gasto corriente,11321517.51,33172046292.0,38.62,3392013.83,9938600528.0,42.72
Morelos,Pensiones y jubilaciones,1770152627.19,28322442035.0,32.97,424465504.69,6791448075.0,29.19
Morelos,Participaciones,3780246789.2,18901233946.0,22.0,979862546.4,4899312732.0,21.06
Morelos,Gasto de capital diferente de obra pública,9235178.61,2678201798.0,3.12,3020567.03,875964438.0,3.77
Morelos,Gasto de obra pública,60090303.15,2824244248.0,3.29,16048712.29,754289478.0,3.24
Morelos,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,72785.98,5022233.0,0.02
Morelos,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Nayarit,Gasto corriente,8370031.49,22289393863.0,41.62,2606044.63,6939896844.0,45.54
Nayarit,Participaciones,2636707350.4,13183536752.0,24.61,714535916.6,3572679583.0,23.45
Nayarit,Pensiones y jubilaciones,978625329.27,14679379939.0,27.41,235828050.0,3537420750.0,23.21
Nayarit,Gasto de obra pública,60183456.0,1685136768.0,3.15,21722658.43,608234436.0,3.99
Nayarit,Gasto de capital diferente de obra pública,6859313.94,1721687800.0,3.21,2291228.64,575098390.0,3.77
Nayarit,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,79202.25,4672933.0,0.03
Nayarit,Gasto corriente por concepto de recursos otorgados a fideicomisos públicos no considerados entidad paraestatal cuyo propósito financiero se limite a la administración y pago,954615.0,954615.0,0.0,318204.0,318204.0,0.0
Nayarit,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,8788.21,70306.0,0.0
No Distribuible Geográficamente,Gasto corriente,13638882563.13,1677582555265.0,96.46,2822930761.41,347220483654.0,100.0
No Distribuible Geográficamente,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
No Distribuible Geográficamente,Gasto de capital diferente de obra pública,2411156290.47,36167344357.0,2.08,0.0,0.0,0.0
No Distribuible Geográficamente,Gasto de obra pública,1162261502.43,8135830517.0,0.47,0.0,0.0,0.0
No Distribuible Geográficamente,Participaciones,17278758099.0,17278758099.0,0.99,0.0,0.0,0.0
Nuevo León,Pensiones y jubilaciones,8179993719.64,114519912075.0,36.24,1951713759.99,27323992640.0,35.04
Nuevo León,Gasto corriente,30912974.3,97066739290.0,30.72,7524352.27,23626466131.0,30.3
Nuevo León,Participaciones,15306001790.2,76530008951.0,24.22,3965479743.4,19827398717.0,25.42
Nuevo León,Gasto de obra pública,272901937.88,20467645341.0,6.48,67586615.0,5068996125.0,6.5
Nuevo León,Gasto de capital diferente de obra pública,23629146.76,7395922937.0,2.34,6802682.26,2129239548.0,2.73
Nuevo León,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,123060.16,8614211.0,0.01
Nuevo León,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Oaxaca,Gasto corriente,22088661.64,75432779517.0,42.9,7177475.1,24511077474.0,47.56
Oaxaca,Participaciones,7905789852.8,39528949264.0,22.48,2009520419.4,10047602097.0,19.5
Oaxaca,Gasto de obra pública,372607848.63,30181235739.0,17.16,96796868.63,7840546359.0,15.21
Oaxaca,Pensiones y jubilaciones,1614287580.0,24214313700.0,13.77,456422008.95,6846330134.0,13.28
Oaxaca,Gasto de capital diferente de obra pública,17893875.26,6495476720.0,3.69,6270184.88,2276077113.0,4.42
Oaxaca,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,221248.07,17478597.0,0.03
Oaxaca,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,5438.4,87014.0,0.0
Puebla,Gasto corriente,22295484.96,69673390494.0,35.04,7483873.57,23387104891.0,40.8
Puebla,Participaciones,12943606203.8,64718031019.0,32.55,3382104386.8,16910521934.0,29.5
Puebla,Pensiones y jubilaciones,3379590943.69,43934682268.0,22.09,860110233.75,11181433039.0,19.51
Puebla,Gasto de capital diferente de obra pública,27001852.03,8559587094.0,4.3,9939798.45,3150916109.0,5.5
Puebla,Gasto de obra pública,189936907.7,11966025185.0,6.02,42298679.2,2664816790.0,4.65
Puebla,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,441350.81,24274295.0,0.04
Puebla,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,16283.86,211690.0,0.0
Querétaro,Gasto corriente,11721714.83,33395165554.0,30.21,3025670.63,8620135624.0,34.46
Querétaro,Pensiones y jubilaciones,2321868676.27,34828030144.0,31.51,534694551.36,8020418270.0,32.06
Querétaro,Participaciones,5670958853.6,28354794268.0,25.65,1440843813.4,7204219067.0,28.8
Querétaro,Gasto de capital diferente de obra pública,10671350.58,2870593307.0,2.6,2782823.45,748579507.0,2.99
Querétaro,Gasto de obra pública,277349122.07,11093964883.0,10.04,10366791.0,414671640.0,1.66
Querétaro,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,106121.54,6155049.0,0.02
Querétaro,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Quintana Roo,Gasto corriente,9748778.04,27335573612.0,39.46,2538851.17,7118938694.0,39.63
Quintana Roo,Participaciones,4390982109.6,21954910548.0,31.69,1144294500.6,5721472503.0,31.85
Quintana Roo,Pensiones y jubilaciones,959163703.0,14387455545.0,20.77,246527371.13,3697910567.0,20.58
Quintana Roo,Gasto de capital diferente de obra pública,7708546.82,2335689686.0,3.37,2598692.83,787403928.0,4.38
Quintana Roo,Gasto de obra pública,63840855.06,3255883608.0,4.7,12430983.02,633980134.0,3.53
Quintana Roo,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,83133.17,5486789.0,0.03
Quintana Roo,Gasto corriente por concepto de recursos otorgados a fideicomisos públicos no considerados entidad paraestatal cuyo propósito financiero se limite a la administración y pago,516539.0,516539.0,0.0,172179.0,172179.0,0.0
Quintana Roo,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,1898.36,32272.0,0.0
San Luis Potosí,Gasto corriente,19976905.04,55435911487.0,42.2,5417244.79,15032854295.0,46.4
San Luis Potosí,Pensiones y jubilaciones,1830304289.13,29284868626.0,22.29,484136007.69,7746176123.0,23.91
San Luis Potosí,Participaciones,5820293590.8,29101467954.0,22.15,1529351656.6,7646758283.0,23.6
San Luis Potosí,Gasto de obra pública,279289189.68,13964459484.0,10.63,20883655.86,1044182793.0,3.22
San Luis Potosí,Gasto de capital diferente de obra pública,12884764.56,3569079782.0,2.72,3324956.05,921012827.0,2.84
San Luis Potosí,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,109306.75,7542166.0,0.02
San Luis Potosí,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Sinaloa,Gasto corriente,17846810.84,57591658588.0,40.79,5191983.04,16754529266.0,44.0
Sinaloa,Pensiones y jubilaciones,2840447043.4,42606705651.0,30.18,731889285.59,10978339284.0,28.83
Sinaloa,Participaciones,6732475584.0,33662377920.0,23.84,1657910671.4,8289553357.0,21.77
Sinaloa,Gasto de capital diferente de obra pública,13233534.26,4155329757.0,2.94,3854415.15,1210286358.0,3.18
Sinaloa,Gasto de obra pública,40011263.82,3160889842.0,2.24,10541440.1,832773768.0,2.19
Sinaloa,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,142143.24,9523597.0,0.03
Sinaloa,Gasto corriente por concepto de recursos otorgados a fideicomisos públicos no considerados entidad paraestatal cuyo propósito financiero se limite a la administración y pago,135943.0,135943.0,0.0,45315.0,45315.0,0.0
Sinaloa,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Sonora,Gasto corriente,18014147.8,58798178427.0,39.33,4872411.29,15903550462.0,41.65
